speaker,speech,disrespect,respect,explanation,causal_reasoning,narrative,question,response,advocacy,public_interest,counterarguments,constructive_proposal
,"#:: Then we want a great organisation and perimeters of Wikiprojects. Wikiprojects have a problem: some of them are empty, and creating one of them take times, they are organized as they want and lack coherence. Having a model or reference/whatever is an entry point oeganized hierarchicaly is the same for everybody and will make the indexing of information easier. Then Wikiproject could monitor the subpages they are interested for and keep to be organized as they want. But I just want to push a better organization, the proposition is just a base. [[User:TomT0m|TomT0m]] ([[User talk:TomT0m|talk]]) 11:43, 7 August 2013 (UTC). One more thing I forgot : a model subpage would not need an active Wikiproject behind it to be maintained and modified, as some or them are often dead. The procedure does not need that as it's the same for everody and it imply to keep things organised and information easy to find with a minimal investment. [[User:TomT0m|TomT0m]] ([[User talk:TomT0m|talk]])
# I have to say that I don't like the temr ""modeling"": we aren't doing any modeling we just structure data in order to access them more easily. The correct term is for me ""data structure"" because we don't care if the proposed properties in wikidata are the good ones to characterize an element, if they redundant or not.
#: I don't agree, dÃ©ciding how to organize datas (this how is called a model that all datas of this sort (or almost in this case) should meet) is one definition of modeling (in computer science for example), there is not only one definition of modeling and we meet the most general one :). But I'm not opposed to another wording, I just can't find any better.",0,0.0,0,0,0,0,0,1,0,1,1
,"It might be hard to find an Authority Control ID for authors of scientific papers, unless the same paper is accepted as a valid relevance proof for both, the work and the author. Besides when adding a source it would be a good sanity measure for Wikidators to have item creation for work authors semi-automated. I just thought about that Higgs boson paper with 3,171 authors and a chill was sent down my spine... --",0,0.0,1,0,0,0,0,0,0,0,1
,"Strong support --Mauerquadrant (talk) 05:37, 25 August 2017 (UTC)
You can't vote twice.",0,0.0,1,0,0,0,0,0,0,0,0
," TomT0m  - well I wasn't expecting it to be exactly and always balanced, but you are right that the balance does naturally shift over time, and sometimes quickly when a lot of new properties are needed in some area. I'm not quite sure if I understand what you are proposing though. Many properties have the  constraint implying that the property should only apply to items that are instances or subclasses of some principle class. Are you suggesting we group them according to that class they are being applied to? So there would be human (Q5) properties and then there's work (Q386724) and geographic location (Q2221906) and organization (Q43229) maybe. Is there a concrete short list of these that would cover most property proposals well? Or maybe the best approach is just to have some sort of monthly list of all proposals with pointers from relevant other lists (and wikiproject pages) as others seem to be suggesting here ???",0,1.0,1,0,0,1,0,0,0,0,0
,"Note: The system of creating an item for single editions was rejected by a 2/3 majority of the votes, this point have to be changed in the proposed guideline. (Books and article sections) --",0,0.0,1,0,0,0,0,0,0,0,0
,Question Is it really possible to automatically know if a statement is referenced in the text with a good reference? --,0,0.0,0,0,0,1,0,0,0,0,0
,"* This should fall under [[WD:UCS]]. If a bureaucrat has supported a RfP which had 30 supporting votes and no opposes, there is no problem with them closing it.",0,0.0,1,0,0,0,0,0,0,0,0
,"As soon as we get serious about describing the museum organisation and the museum building then we need two separate wikidata items - one for each these. One wikidata item cannot describe both. If there is one wikipedia article covering both then that article will (eventually) have two infoboxes - one for the organisation and one for the building.
::Wikidata may be based on wikipedia articles for now but in future it will be based on 'things that can be described using wikidata properties' and that will be the entire basis on which decisions are made as to which items are merged and which are split; which wikipedia articles are linked to that page and which go elsewhere.",0,0.0,1,0,0,0,0,1,0,0,1
," Case  Solution 1: business as usual + instance of fictional   solution 2: use only fictional X statements for fictional items  solution 3: ""is fictional"" property  Solution 4  Solution 5 Ra (Q1252904)  deity (Q178885)  deity (Q178885)  deity (Q178885)  Example  Example Han Solo (Q51802)  fictional character (Q95074)human (Q5)occupation: smuggler  fictional character (Q95074)  fictional character (Q95074) would contain fictional equivalent of homo sapiensoccupation: fictional smuggler Q fictional smuggler would contain: ""fictional equivalent of smuggler""  human (Q5)occupation: smuggleris fictional: true  Example  Example Yoda (Q51730)  fictional character (Q95074)human (Q5)occupation: Jedi Master (Q14904358)  fictional character (Q95074)occupation: Jedi Master (Q14904358)  living entityoccupation: Jedi Master (Q14904358) is fictional: true  Example  Example Scar (Q2291314)  fictional character (Q95074)lion (Q140)  fictional lion (Q27267085)  lion (Q140)is fictional: true  Example  Example Albert Einstein (Q937)  human (Q5)And not instance of (P31):physicist (Q169470) because this is defined with occupation (P106): don't repeat the same information several times in the same item. human (Q5)  human (Q5)  Example  Example Tsavo Man-Eaters (Q2510263)  lion (Q140)   lion (Q140)   lion (Q140)  Example  Example Bo (Q1273495)  dog (Q144)   dog (Q144)   dog (Q144)  Example  Example list of real lions  lion (Q140) and no P31 a direct or indirect subclass fictional entity  lion (Q140)  lion (Q140) and not fictional == true   Example  Example list of real or fictional lions  lion (Q140)   lion (Q140) + fictional lion (Q27267085)that is fictional lion (Q27267085) but we should not asusme that the queries not the Q number for fictional lion.  (From Emw: what?)  lion (Q140)    Example  Example

I'm afraid I don't agree that option 1 doesn't work well. Your table demonstrates that it works better than option 2 or option 3. 
If the response to your query includes fictional characters then (if you don't want fictional characters included) you know that you need to add a term to your query to exclude anything which is not a member of the class 'human'. Simple. All we have to do is make sure the items are suitably labelled so this additional term is easy to formulate.",0,0.0,1,0,0,0,0,0,0,0,0
,Â Support Straigtforward.,0,0.0,0,0,0,0,0,0,0,0,0
,Â Oppose as per Pigsonthewing. --,0,0.0,0,0,0,0,0,0,0,0,0
, 18px|link=Â Wait. I think the minimum is to wait the end of meta:Requests for comment/Adopt OmegaWiki. Because the merge of Omega and wiktionary could create a multilingual dictionary. --,0,0.0,1,0,0,0,0,0,0,0,0
,"Strong support --SÃ¤nger (talk) 13:22, 15 September 2017 (UTC) I was just denied such a useful link today, and as I remembered reading something about it in the :de:Vorlage:Beteiligen, I got here, and fail to see any real problem with allowing it.Â Support --",0,0.0,1,0,0,0,0,0,0,0,0
,# using such links may cause problems then. --,0,0.0,1,0,0,0,0,0,0,0,0
,"@Jura1: Then the solution is to appoint more and active (in property proposal, that is) property creators and/or admins.--",0,0.0,1,0,0,0,0,0,0,0,0
,"*::::::::::::::::::::: Actually I fear more increasing the data more that we can manage with the current participation numbers. Growth should be organic, not based on lowering standards.--",0,0.0,1,0,0,0,0,1,0,0,0
,"Comment Destinations will usually have an existing item and Wikipedia article, so there's no need to create a new item. More specialised travel topics, like voy:First aid kit for travellers, voy:New York City with children, or voy:Avoiding a transit of the United States, might be worth adding. --",0,0.0,1,0,0,0,0,0,0,0,1
,"*:::: It is a good idea, but for having a proposal showing in different places then we should switch the system to one similar to the bot approval proces, that is, transcluding subpages. That would be also easier for archiving old proposals, but it would be hard to do the migration...--",0,1.0,1,0,0,0,0,0,0,0,1
,"Â Support LukasÂ²Â³ talk  in German Contribs 22:11, 5 April 2013 (UTC)Â Support For this to work, I should add that we must have a fair number of bureaucrats.--",0,0.0,1,0,0,0,0,0,0,0,0
,"On 2, merging of ""hatmakers"" (list of people making hats) and ""hatmaking"" (making of hats) would be an error, those are different concepts. If we assume that those two concepts are in fact the same, which they are not, then the problem would be a missing merge of the articles on Wikidata, not two different articles on Wikipedia. Actually ""hatmakers"" would use hash URIs for each of the hatmakers, and it would be a valid solution to the list problem. Also, the hatmakers on Wikidata could be stored on a single page and this has been discussed. An item reside on a page, but it does not use the page id as its own identifier just because of this.",0,0.0,1,0,0,0,0,0,0,0,1
,"*I'm not sure whether this has been discussed or not, but there don't seem to be any real mechanisms to draw attention of an item's contributors and browsers to the fact that the item is up for deletion/merging/splitting. Lots of items get deleted unnecessarily or inappropriately because the only ones likely discussing them other than the proposer (who naturally would be somewhat inclined toward deletion) are users who frequent the RfD page. I don't know that imposing a minimum discussion time is going to accomplish much if it's just going to be the same users participating. On Wikipedia, there is a prominent banner placed directly at the top of the page, bots deliver notifications to the page's creator and significant contributors, etc. I opened a case on [[:WD:IWC]] back in July of last year disputing a merge action, which after seven months has still had zero input, while an item relevant to that case was placed on RfD, and was deleted in three days. I didn't make any edits during that time, but I'm sure I was checking in on the site, including the page for that specific item, and yet I still had no idea that it was up for deletion.",0,0.0,1,0,1,0,0,0,0,0,0
,Neutral -- Per Snaevar commented above.,0,0.0,0,0,0,0,0,0,0,0,0
,"Tveksam I think we should encourage more activity in these pages, not add more red tape. --",0,0.0,0,0,0,0,0,0,0,0,1
,"Should start date and end date qualifiers be used for a person's original names and names that a person had until death, respectively? Over at [[WD:Requests for comment/Time DataType Properties]], it was suggested that (within the general topic of start/end dates) start and end dates should be given even if they go all the way to the start or end of a person's life, as otherwise it would be impossible to tell if perhaps the data hadn't been added yet. In my personal opinion, even if that is to be the standard, names should be an exception, as it is extremely common that names don't change. Thoughts? --",0,0.0,1,0,0,1,0,0,0,0,0
,"An additional word : it seems that this reform is directed to the process with the view of the creators. It's important, but ... what about the proposers themselves ? Don't we risk that we end up with an optimized process for the creators but that the consumers are totally forgotten and are actually discouraged to propose something ?  author[[User:TomT0m|TomT0m]] / talk",0,0.0,1,0,0,1,0,1,0,0,0
,* Not sure if this is really needed either. It is done on very few of the 400+ active Wikimedia projects.,0,0.0,1,0,0,0,0,0,0,0,0
, @Bene*: I have updated #2.--,0,0.0,0,0,0,0,0,0,0,0,0
,"It has been a while since I last brought it up. In the meantime we got structured data on Commons and here we made much more extensive use of unknown value. I would love to change the way we use anonymous (Q4233718). I would say creator (P170) -> unknown value and use object has role (P3831) -> anonymous (Q4233718) and keep all the other qualifiers the same. So the query would change from ""?item wdt:P170 wd:Q4233718"" to ""?item p:P170/pq:P3831 wd:Q4233718"". We can just have a bot do these changes and do clean up on a regular basis. Ping project doesn't work for large projects so I'll leave a message on the talk page.",0,0.0,1,0,0,0,0,0,0,0,1
,"I'm glad to see the community are now discussing these issues, I would point out that my PC-role has just been removed, for breaches of some of the new ""rules"" proposed here, which did not exist at the time of my actions. Had they done, so, I would of course have been willing to adhere to them. [[User:Pigsonthewing|Andy Mabbett]] (Pigsonthewing); [[User talk:Pigsonthewing|Talk to Andy]];",0,1.0,1,0,0,0,0,0,0,0,0
,"You mean the piece of cheddar in your fridge, of course?",0,0.0,0,0,0,1,0,0,0,0,0
,"I want to make it clear that we often have interwiki-conflicts in these items. [https://www.wikidata.org/w/index.php?title=Q533915&oldid=30367778 Here] is an example. The English article [https://en.wikipedia.org/w/index.php?title=Malm%C3%B6hus_County&oldid=546102228 was] only a ""list of governors"" at that time, while the Swedish article described the ""county"". (This specific case has been solved both on enwp and dewp since then.) I think we should be carefull when we use Wikidata for interwiki in these articles. If one article is a list and the other isn't, then they should not share item. Many WP-users will not be happy with this opinion. --",0,0.0,1,0,0,0,0,0,0,0,1
,*:What advantages? [[User:Pigsonthewing|Andy Mabbett]] (Pigsonthewing); [[User talk:Pigsonthewing|Talk to Andy]];,0,0.0,0,0,0,1,0,0,0,0,0
,"Â Support On Wikidata, it looks as if there is no article about murderer Brenda Ann Spencer (Q237119) on the English Wikipedia, though 18 other sites have articles. But her biography is there, in Cleveland Elementary School shooting (San Diego) (Q50841850). The redirect should be connected to her name on Wikidata, so that the true state of her coverage can be shown on Wikidata. This is only the most recent example Iâ€™ve run across. Itâ€™s frustrating and damages the data integrity.",0,0.0,1,0,0,0,0,0,0,0,1
,"*::::: You're not making any sense, and this is offtopic to the RFC anyway. P107 is going away. It's being replaced by P31/P279. If you would like to contribute to the discussion constructively, please do...
*::::: As for constraints, that may be something to start in a new section: How do we go about dealing with the constraints? Without getting too much into that discussion, it's my feeling that most of the constraints can be dealt with quite handily without the need for P107. But please, start a new section for that because it is a valid concern about how best to migrate. --",0,0.0,1,0,0,1,0,0,0,0,1
,How would you indicate the order of the given names or family names? --,0,0.0,0,0,0,1,0,0,0,0,0
,# Really needed.,0,0.0,1,0,0,0,0,0,0,0,0
,"These numbers says only one: there is no consensus, [[:en:WP:NOT#DEM]]. â€”",0,0.0,1,0,0,0,0,0,0,0,0
," @DarwIn: No, the automatic sitelink changes when moving Wikipedia articles should still happen the way they do now. The only expection might be when you move a redirect article where previously no automatic changes could be done and in future automatic changes could be done. ChristianKl âªâœ‰â« 21:47, 23 December 2020 (UTC)

 Following clear consensus over... a couple of years... I'm closing this RfC as having passed. The policy tag has been added to the page. --",0,0.0,1,0,0,0,1,0,0,0,0
,#::: Neither queries nor type inference in queries is currently supported by Wikidata.  Bugzilla [https://bugzilla.wikimedia.org/show_bug.cgi?id=50911 ticket 50911] would enable the latter.  [https://bugzilla.wikimedia.org/show_bug.cgi?id=47930 Ticket 47930] is also relevant.,0,0.0,1,0,0,0,0,0,0,0,0
,"Â Oppose This is the wrong way around; I understand there is a risk of COI, but there are other means to address that. But the downsides (stalling, people deciding with less knowledge) are worse than the benefits (no COI). Mind you, even with the rule COI occurs: a user that joins the discussion late noting a favorable discussion for his POV, and then moves forward without participating in the discussion. (Sounds like a conspiricy? Yeah, pretty much like users that do participate in the discussion not taking a neutral perspective in the final decision.)",0,0.0,1,0,0,0,1,0,0,0,0
,"(edit conflict) It doesn't necessarily, but there are tons of discussion about ""PRECISION"" and I was pretty sure you were talking about ""precision"", and you've now confirmed that, so all is well. Your second question is worth a response, but let's not derail this already *very* long Rfc discussion with tangential issues that don't affect the first sentence. Please read Intersex, and if you'd like further amplification after that, ask again at Talk:Intersex, WP:Reference desk, WT:LGBT, or my talk page. Cheers,",0,0.0,1,0,0,0,0,0,0,0,1
,"*:::::::I feel strongly because I was on the receiving end of SR's malicious behavior. But I'm not the issue here, no matter how hard you or other enablers try to make me the issue. --",0,0.0,1,0,0,0,0,0,0,0,0
,"*C - Not that I think it will happen, I'm sure another fire brigade would be called in should it seem that the original consensus might be restored. --",0,0.0,1,0,0,0,0,0,0,0,0
,"*<s>Procedural close.</s> This RfC is an attempt to [[WP:CIRCUMVENT]] consensus. A majority of editors have reached a conclusion on this dispute through the discussion directly above. When a group of editors is claiming a consensus, and yet we still find ourselves at an impasse, it is almost always either because participants cannot find rational grounds to settle the dispute, or because one of the sides become emotionally and/or ideologically invested in winning the argument. I think it's abundantly clear to anyone familiar with this dispute that the latter has happened to Toa. This should be procedurally closed. â€“â€“",0,0.0,1,0,0,0,0,0,0,0,1
,"@[[User:Pincrete|Pincrete]] A development whereby the family renounces claims to the throne of Greece  matters very little, if at all! If they renounce their royal status and most [[WP:RS|reliable sources]] call them ""Greek royal family"", then [[WP:COMMONNAME]] obliges us to keep the article's title as it is right now. This is not about the legalities of a family's claims to the throne but about Wikipedia nomenclature. -",0,0.0,1,0,0,0,0,0,0,0,0
,"*:Everyone most certainly does not ""know"" anything of the sort, by witness the many prods and AfDs up until quite recently that closed far to the contrary.  That being said, ""useful"" how?  What is the precise result you see happening here?  What would enacting this guideline do that as of right now cannot be done?",0,0.0,0,0,0,1,0,0,0,0,0
,"See also , stating Template:Tq is only for quoting in talk and project pages. Do not use it in actual articles.Category:Pages with incorrect formatting templates use. 
Overall, we have plenty of sources that identify that some of the relevant authorities call the practice it ""gender-based violence"", ""mutilation"", etc. and it certainly is ""disproportionately committed against men or boys"".",0,0.0,1,0,0,0,0,0,0,0,0
,"#:: Yes, know that, and that seems clear enough.  Perhaps a bluelinked ""CU block"" would be even more clear, if needed.  The question is: How does the CU decide whether to designated it as a CU block?  --",0,0.0,0,0,0,1,0,0,0,0,0
,"I think that this is a really important point that's not getting enough attention here. There's undoubtedly a lot of back-and-forth that can be had over things like how to refer to Jenner in articles taking about different time periods, but none of that kind of argument has to happen here on these articles, because we're fortunate enough to have a situation analogous to if Jenner had been born ""Christopher"" and then transitioned to ""Christina"" and gone by ""Chris"" for short both before and after transition. If that were the case, then you would just write ""Chris Jenner"" everywhere and completely avoid the argument, and people insisting on writing ""Christopher Jenner"" would be obviously just starting an argument that doesn't need to be had. With the Wachowskis, they were called ""the Wachowskis"" even back when that was short for ""Wachowski Brothers"", and they're still called ""the Wachowskis"" now that they identify as sisters rather than brothers, so we can just call them ""the Wachowskis"", not mention gender at all, and completely avoid the whole argument. Insisting on the ""Brothers"" just seems like insisting on having an argument we don't need to have. --",0,1.0,1,0,0,0,0,0,0,0,0
,"""These services don't meet any of those bullet points""  - then your bullet points clearly need more work, as do your examples, because several people participating in this discussion are under the impression that you are wanting to abolish (TV network). I maintain that your examples relating to pay cable services are, more often than not, more correctly identified as ""networks"".  Only in rare cases is ""channel"" appropriate, and those cases are already covered in the long-term NCBC version. Any problems you see related to consistency are better resolved via BOLD moves or RMs. --",0,0.0,1,0,0,0,0,0,0,0,1
,"Education is too broad a term. It starts at birth and, one would hope, ends at death. I think we need something along the lines of academic exposure, only shorter. Of course, thatâ€™s kinda what alma mater means. 18px|link=",0,0.0,1,0,0,0,0,0,0,0,0
,"This conversation is insane. The claim is based on bald-faced racism, it's tendentious WP:OR and 100% WP:SYNTH. Completely totally and utterly unacceptable.",0,0.0,1,0,0,0,0,0,0,0,0
,*Where's the appropriate place? -,0,0.0,0,0,0,1,0,0,0,0,0
,"*Strong Support MOS:ALTNAME already expects the inclusion of the names in parenthesis, these names are clearly significant otherwise we wouldn't be having a month long discussion about them twice a year, but also the names are in current use and increasingly used among the non-Indigenous community also as the names begin to gain recognition. There was the New Zealand example earlier in the discussion too which works just fine. It doesn't take anything away from the articles to include a few words in parenthesis, it absolutely creates an opportunity to increase reader engagement because they may not have known about the cultural history of the places and the continuing diversity of the places. In a similar note, Wikipedia is about sharing knowledge, and including the names is an opportunity to share knowledge which improves understanding of the places and their cultural diversity & what makes the places what they are today.
:As much as I would love to include the names everywhere, and wish Wikipedia had a way of handling oral history given what happened to my ancestors (for example, my grandfather would refuse to write things down in fear of his & our safety, only telling us knowledge orally), I completely understand the need for verifiable sources, so as long as the names have sources, I strongly support their inclusion in parenthesis. I'd caution against relegating them to history because we still exist and we still use the names, it's not ancient history.",0,0.0,1,1,0,0,0,0,0,0,0
,"Please try to avoid rhetoric which seems to treat me like a child or places you in a position of authority over me. I understand this is likely not what you intended, but some of it does come off as that way. <b>InvadingInvader</b> ([[User:InvadingInvader|userpage]],",0,0.0,0,0,0,0,0,0,0,1,0
,"Downgrade to generally unreliable for science and politics â€“ on a number of occasions I've come across Fox News being used as a source for politics and current affairs and been surprised. I believe it's generally accepted among mainstream experts and academics that Fox, the poster child for toxically partisan American media, is so unfailingly skewed it has individually had a significant impact on America's polarisation. I usually spend a few minutes seeing if I can remove it by finding another source. I've read other editors here arguing Fox is acceptable on a ""case-by-case"" basis for politics & science because it usually gets the most basic biographical facts right, but has Template:Tq is only for quoting in talk and project pages. Do not use it in actual articles.Category:Pages with incorrect formatting templates use (I see links below corroborating these frequent ""errors""). My view is that Fox News isn't reliable-biased because its bias seeps into, and subsumes, the entire process of its journalism, particularly fact selection and fact checking. This isn't a source we should ever be using for science articles. As for politics, Fox's mission to push an partisan viewpoint across its output causes several problems. By accepting Fox can occasionally be a acceptable source for information that can't be found elsewhere, we're indicating it occasionally falls within the spectrum of valuable mainstream opinion when other sources don't. I don't buy this. If Fox is saying something other sources aren't, I believe it's almost always because it's trying to push the public conversation in a partisan, non-expert led direction. For example, if I go to the Fox Politics page today the leading headline is ""Hunter Biden said he would be 'happy' to introduce business associates to top CCP official"". A source obsessed by partisan issues will skew our coverage away from a balance of expert opinion and the principle that Wikipedia is mainstream -- crucially, ""mainstream"" does not mean mass popular opinion, it means expert opinion. Fox may, very occasionally, hit on something most other outlets get it wrong, this is not a justification for its use, it's an indication of the flaws of academic bias we must accept to remain reflective of mainstream scholarship: we must trust mainstream sources to adjust and accept their mistake. To cite Fox taking an outlier position against the mainstream is very likely to result in contamination with misinformation and fringe views. To expect editors to be capable of determining valid, accurate encylopedic information in a mix of unfailingly skewed fact selection and outright falsehoods is impractical. And a source whose everyday purpose is satiating people who are angry, or making them angry about something new, isn't compatible with a serious, respected encylopedia. I don't support outright deprecation because I don't think there's any need to systematically remove existing links or ""prohibit it""; rather, we should be generally be avoiding further use and insisting editors have a higher minimum bar for politics and science sources. I'm not interested in arguments along the lines of ""but X is also biased""; in some cases I suspect this is whataboutism, and in some cases it may be valid, but it doesn't change the problem here: unfailing partisanship combined with frequent factual errors. Additionally, arguments such as ""Fox is rightwing, so banning it will lead to left-wing bias"" are also irrelevant to my stance, as I don't think Fox-style tabloid journalism is appropriate for a tertiary source whatever its political bent, and the mainstream of expertise should be determined by using academic sources (books/journals), not media outlets. Jr8825 â€¢",0,0.0,1,1,0,0,0,0,0,0,0
,*:*:::I think it might be Archive 238 [[Wikipedia:Reliable sources/Noticeboard/Archive 238#Fox News reliability RfC]].,0,0.0,1,0,0,0,0,0,0,0,0
,"*Option B I'm with Sandstein: how many people even know what an almanac or gazetteer even is? For notability, we have specific notability policies and guidelines which should be used for judging the notability of articles at AfD.",0,0.0,1,0,0,1,0,1,0,0,0
,"That is more of a philosophical discussion if it conveys more or not. It's not overtly relevant to the actual discussion here. It not directly or overtly convey anything but that he has a membership. We can't use the source to say anything but. Basically we either need a better source or we need to quit trying to lead the readers to a conclusion. Ok IRS, so then it seems fine to post it in the philanthropy. Yes that is long winded, but it is accurate and impartial, and it doesn't attempt to lead the reader to any unsourced notion about Singer. The Donors Trust is not a conservative donor advised fund, but instead it's a nonprofit donor advised fund for conservatives. While it is for conservatives, it doesn't exclusively support conservative nonprofit charities. It specifically doesn't support liberal causes. Something along the lines of nonprofit donor advised fund would perhaps be better.",0,0.0,1,0,0,0,0,1,0,0,1
,"References

{| class=""hidden-archive mw-collapsible mw-collapsed"" style=""box-sizing: border-box; border: 1px solid #a2a9b1; width: 100%;clear: both;text-align: center; padding: 1px;margin: 0.2em auto 0;font-size:100%;
|-
! style=""padding: 0.25em 1em;line-height: 1.5em;text-align: center;background-color:#f2dfce;"" | Exchange on possible error with Legobot
|-
| style=""font-style:italic;"" | The following discussion has been closed. Please do not modify it.
|-
| style=""border: solid 1px silver; padding: 8px; background-color: #fcf4ef; text-align: left;"" |

FranÃ§ois Robere, just to let you know that the RfC shows up in a bizarre fashion on both RfC pages (and the links to here don't work). I tried to fix but as it is bot-controlled, I thought I might do more harm than good. Pincrete (talk) 21:08, 20 June 2018 (UTC) Update: Links to here seem to be working now.",0,0.0,0,0,0,0,0,0,0,0,0
,"I am saying that option 3 (""The article should include a section different from the one proposed (specify how)."") is not an appropriate option for any RfC. To be definitive, an RfC must include all alternative versions of the text from the beginning.",0,0.0,1,0,0,0,0,0,0,0,0
,"Yes, but your question is ambiguous and open ended. How about the much more straight forward ""Does a NPOV tag belong on the article?"" and link to the version of the article which you believe has problems.",0,0.0,1,0,0,1,0,0,0,0,1
,"@Laurel Lodged: All domes are domes; they are vaults with radial symmetry. There are of course countless orthodox churches (many are cathedrals) that are basilicas in the proper sense. It is obviously impossible for these to be given the title ""basilica"" by the Pope. This in itself shows they are two very different meanings of the word basilica and should not be treated together. Constantine built many basilicas, sacred and profane, but they are all the same kind of basilica and can all appear here. The first Hagia Sophia would be an example of an Orthodox basilica that was a cathedral, for example, and the present church on the site is also, more distantly, a basilica and a cathedral. The other use is not a ""metaphorical basilica"" it is a titular one that has nothing to do with architecture at all.",0,0.0,1,0,0,0,0,0,0,0,0
,"*No There's a wealth of good reasoning below, but at the end of the day I'm most sympathetic to it being not needed. The main page is the introduction point. Simplicity as a design choice is well attested in the web design world and it makes it easier to navigate the main page. --[[User:127(point)0(point)0(point)1|WhoIs 127.0.0.1]] [[User_talk:127(point)0(point)0(point)1|ping]]/",0,0.0,1,0,0,0,1,0,0,1,0
,"I don't see any connection to [[WP:ENGVAR]].  There is no national variety of English involved.
::And I am against any ""first come first served"" style rule so would not want to apply WP:ENGVAR even in principle.",0,0.0,1,0,0,0,0,0,0,0,0
,"Wrong. [[WP:MEDRS]] applies to all biomedical information, and there no exemption for indirect presentation of that information (or as quacks often try to have ""According to Dr Woo, Woo pill can cure cancer""). Battlefield casualties and the Krelmin seem like a complete irrelevance to the current discussion, which speaks of a [[WP:CIR]] issue.",0,0.0,1,0,0,0,0,0,0,1,0
,*No.  Attempts to include this have relied heavily on [[WP:PRIMARY]] sources.  I believe this is indicative of the general validity of the multiple objections already stated.  --,0,0.0,0,0,0,0,1,0,0,1,0
,"Come on man, am i mistaken or you keep denying Birkar's Iranian nationality ? [https://phys.org/news/2018-08-math-laureate-medal-prize-stolen.html this source] says ""But for Birkar, an Iranian Kurd who won political asylum and citizenship in Britain, minus one plus one equals gold again."". [https://www1.folha.uol.com.br/internacional/en/scienceandhealth/2018/08/1977599-mathematics-nobel-prize-fields-medal-stolen-in-rio-de-janeiro-shortly-after-ceremony.shtml this one] says ""Iran's Caucher Birkar, 40, of Kurdish background, had his Fields Medal stolen"" and later ""After one year, he was granted the status of refugee and became a British citizen."". [http://www.euronews.com/2018/08/02/mathematical-fields-medal-stolen-from-cambridge-professor this one] says ""Birkar is an Iranian refugee who has been living in the UK for over a decade."". [https://www.presstv.com/DetailFr/2018/08/02/569981/Iran-Cauchar-Birkar-Fields-Medals-Award-mathematics-Mirzakhani this one] says ""Second Iranian wins prestigious Fields Medal""... Need more ? i have many other sources in English, Persian and French. Please be serious. The consensus seems to be ""Kurdish-Iranian"" in the lead and as to his nationality, ""British-Iranian"" or we just leave his nationality out of the infobox.<b>---Wikaviani </b><b>[[User_talk:Wikaviani|(talk)]] [[Special:Contributions/Wikaviani|(contribs)]]</b> 21:47, 17 August 2018 (UTC)
::Think I agree with Viani on this point. There are a bunch of articles saying he's ""from Iran"". If someone wants to contend he's not a citizen of Iran, the onus is probably on them to prove that.",0,0.0,1,0,0,1,0,0,0,0,0
,"*Yes, No, Yes, Yes. 1) Poland interacted with the Axis for several years, and it canâ€™t hurt the reader to summarize that history. However, 2) Poland did not fight alongside the Axis after 1 September 1939 (!), or even before. 3) The extensive Soviet-Axis (primarily German, but Italian too) rapprochement between August 1939 and June 1941 has to be mentioned, no question. Finally, 4) Soviet participation crossed the threshold of co-belligerence, with joint invasions, co-ordinated annexations, victory parades, intelligence sharing and more. -",0,0.0,1,0,0,0,1,0,0,0,0
,"As per WP:SUMMARYHATNOTE and WP:HATNOTE, I am adding hatnotes to sections linking out to main and related articles for sections such as photosynthesis and cellular respiration: 
Template:Tq is only for quoting in talk and project pages. Do not use it in actual articles.Category:Pages with incorrect formatting templates use
 @Danielkueh has suggested that I open a discussion here. They had an issue with linking the Atoms and Molecules section to molecular biology and the Chemical Basis section to biochemistry, so I am leaving those two alone for now. 
 If you have an issue with a specific hatnote please revert and respond here with POLICY-BASED  arguments for why it shouldn't be there. Otherwise, section hatnotes are in line with policy and the general structure of this article. 
Thank you,",0,0.0,1,0,0,0,0,0,0,0,1
,"Also, the site regularly sources content from Breitbart News (RSP entry), including conspiracy theories related to George Soros in ""Breitbart reveals Soros groups registering felons to oppose Moore in Alabama election"" and ""How billionaire George Soros is trying to hijack the Catholic Church for his progressive agenda"". â€”",0,0.0,1,0,0,0,0,0,0,0,0
,"@A7V2:
Template:Tq is only for quoting in talk and project pages. Do not use it in actual articles.Category:Pages with incorrect formatting templates use
That was a concern when we moved from ""season"" to ""World Championship"" back in 2017. From memory, we made sure that we had as many participants in the discussion as possible and then bookmarked that discussion to refer anyone reverting it. It also helped that we moved thirty or so articles at once, and it was expected that with a bit of time, the number of reverts would decline. In fact, I don't think we ever had a single revert.

If we were to make changes, it would be with a clear understanding of the plan: that any article ""created"" from 2013 onwards would be changed and that anything pre-dating 2013 would be left alone. I still have two concerns, though:
 The subject of the affected articles are a physical thing which is owned and run by someone outside Wikipedia. This is opposed to a concept. As such, I think that some weight has to be given to Liberty/FOM. It's a bit like saying ""no, the Styrian Grand Prix should be called the second Austrian Grand Prix"".
 The range of sources presented within articles clearly use a style of naming. While WP:COMMONNAME says we should use the name that is reflected in most sources, the idea that we should use a name which is not in the sources presented undercuts that. It's the ""silent majority"" argument: that the majority of people agree with you, but haven't spoken up.
I think it's important that people engage with the sport outside Wikipedia and so article titles should reflect how the sport is presented.",0,0.0,1,0,0,0,0,0,0,0,1
